country,year
Cambodia,2011
Vietnam,2011
United States of America,1996
China,2010
Australia,2011
New Zealand,2011
Germany,2012
Austria,2012
Switzerland,2012
Japan,2010
Peru,2012
South Africa,2018
Philippines,2011
Canada,2002
Mexico,2006
Thailand,2011
Indonesia,2011
Hungary,2019
Romania,2019
Bulgaria,2019
The Bahamas,2010
Dominican Republic,2008
Italy,2016
Taiwan,2010
Hong Kong S.A.R.,2012
Singapore,2011
Costa Rica,2001
